FORMA|KEY|SIGL
1r|1r|v
##|##|v
cil|cil|v
qui|qui|v
a|a|v
cueur|cueur|v
de|de|v
vassalaige|vassalaige|v
##|##|v
et|et|v
veult|veult|v
amer|amer|v
de|de|v
fin|fin|v
couraige|couraige|v
##|##|v
si|si|v
doibt|doibt|v
ouÿr|ouÿr|v
et|et|v
escouter|escouter|v
##|##|v
ce|ce|v
que|que|v
aimes|aimes|v
vueult|vueult|v
racompter|racompter|v
##|##|v
assés|assés|v
y|y|v
peult|peult|v
de|de|v
biens|biens|v
apprendre|apprendre|v
##|##|v
qui|qui|v
de|de|v
fin|fin|v
cueur|cueur|v
y|y|v
vueult|vueult|v
entendre|entendre|v
##|##|v
or|or|v
oyés|oyés|v
seigneurs|seigneurs|v
que|que|v
je|je|v
dy|dy|v
##|##|v
aimes|aimes|v
pour|pour|v
l’|l’|v
amour|amour|v
de|de|v
naly|naly|v
##|##|v
fist|fist|v
le|le|v
roumant|roumant|v
tant|tant|v
saigement|saigement|v
##|##|v
que|que|v
tel|tel|v
l’|l’|v
orra|orra|v
qui|qui|v
ne|ne|v
l’|l’|v
entent|entent|v
##|##|v
pour_quoy|pour_quoy|v
il|il|v
fust|fust|v
faitz|faitz|v
et|et|v
dys|dys|v
##|##|v
pour|pour|v
juliane|juliane|v
fut|fut|v
escriptz|escriptz|v
##|##|v
tousjours|tousjours|v
mais|mais|v
en|en|v
ert|ert|v
remenbrance|remenbrance|v
##|##|v
il|il|v
ne|ne|v
fut|fut|v
mie|mie|v
fait|fait|v
en|en|v
france|france|v
##|##|v
mais|mais|v
en|en|v
la|la|v
lengue|lengue|v
de|de|v
francoys|francoys|v
##|##|v
le|le|v
fist|fist|v
aimes|aimes|v
en|en|v
leonés|leonés|v
##|##|v
aimes|aimes|v
y|y|v
mist|mist|v
s’|s’|v
entencïon|entencïon|v
##|##|v
le|le|v
roumant|roumant|v
fist|fist|v
à|à|v
chasteillon|chasteillon|v
##|##|v
de|de|v
phillippon|phillippon|v
de|de|v
babillonne|babillonne|v
##|##|v
qui|qui|v
fut|fut|v
nourris|nourris|v
en|en|v
machidonne|machidonne|v
##|##|v
et|et|v
du|du|v
filz|filz|v
au|au|v
roy|roy|v
mathaquas|mathaquas|v
##|##|v
qui|qui|v
estoit|estoit|v
sires|sires|v
de|de|v
duras|duras|v
##|##|v
florimont|florimont|v
ot|ot|v
nom|nom|v
en|en|v
francois|francois|v
##|##|v
eleneos|eleneos|v
fust|fust|v
en|en|v
gregois|gregois|v
##|##|v
roy|roy|v
fust|fust|v
et|et|v
si|si|v
conquist|conquist|v
assés|assés|v
##|##|v
diray|diray|v
vous|vous|v
en|en|v
si|si|v
m’|m’|v
escoutés|escoutés|v
