FORMA|KEY|SIGL
3r|3r|v
##|##|v
mais|mais|v
ne|ne|v
scavés|scavés|v
encor|encor|v
pas|pas|v
##|##|v
dont|dont|v
fust|fust|v
sa|sa|v
mere|mere|v
olimpias|olimpias|v
##|##|v
du|du|v
roy|roy|v
phillippon|phillippon|v
ne|ne|v
scavés|scavés|v
##|##|v
qui|qui|v
fust|fust|v
ces|ces|v
peres|peres|v
dont|dont|v
fust|fust|v
nés|nés|v
##|##|v
je|je|v
le|le|v
diray|diray|v
qui|qui|v
l’|l’|v
ay|ay|v
en|en|v
memoire|memoire|v
##|##|v
or|or|v
escoutés|escoutés|v
moult|moult|v
riche|riche|v
hystoire|hystoire|v
##|##|v
des|des|v
roys|roys|v
des|des|v
princes|princes|v
qui|qui|v
y|y|v
sont|sont|v
##|##|v
ly_plus|ly_plus|v
est|est|v
du|du|v
roy|roy|v
flourimont|flourimont|v
##|##|v
ce|ce|v
dist|dist|v
aimes|aimes|v
or|or|v
escoutés|escoutés|v
##|##|v
vous|vous|v
qui|qui|v
les|les|v
biaus|biaus|v
dittiés|dittiés|v
amés|amés|v
##|##|v
car|car|v
cy|cy|v
porrons|porrons|v
trouver|trouver|v
la|la|v
flour|flour|v
##|##|v
des|des|v
contes|contes|v
ly|ly|v
bon|bon|v
treuveur|treuveur|v
##|##|v
d’|d’|v
amours|amours|v
et|et|v
de|de|v
chevalerie|chevalerie|v
##|##|v
d’|d’|v
aventures|aventures|v
de|de|v
courtoisies|courtoisies|v
##|##|v
et|et|v
de|de|v
largesse|largesse|v
et|et|v
d’|d’|v
ounour|ounour|v
##|##|v
or|or|v
faites|faites|v
paix|paix|v
oyés|oyés|v
seignours|seignours|v
